row_label,NLRB Region,"Cases on docket, fiscal year 1938-39 — Number","Cases on docket, fiscal year 1938-39 — Workers involved",Before formal action — Settled — Consent election,Before formal action — Settled — Recognition of representatives,Before formal action — Settled — Pay-roll check,Before formal action — Dismissed,Before formal action — Withdrawn,Before formal action — Otherwise,After formal action — Before Board decision — Settled — Consent election,After formal action — Before Board decision — Settled — Recognition of representatives,After formal action — Before Board decision — Settled — Pay-roll check,After formal action — Before Board decision — Dismissed,After formal action — Before Board decision — Withdrawn,After formal action — After Board decision — Certification — Without election,After formal action — After Board decision — Certification — After election,After formal action — After Board decision — Dismissed — Without election,After formal action — After Board decision — Dismissed — After election,Total cases disposed of,Total cases pending
Board,62,104454,,,,,,,,,,,,14,24,3,,56,6,
Total,3550,1079170,454,257,241,264,480,5,24,8,10,18,31,41,112,252,72,2339,1211,
