row_label,Industrial group,Total elections / Total,Number of elections in which representation rights were won by unions / Total,Non-elections in which no rep was chosen / AFL-CIO unions,Total employees eligible to vote / Other national unions,Total valid votes cast / Other local unions,Valid votes cast for unions / Number of elections in which no rep was chosen,Eligible employees in units choosing rep no union / Total employees eligible to vote,Total valid votes cast,Total,AFL-CIO unions,Other national unions,Other local unions,Eligible employees in units choosing rep no union
Food and kindred products,159,69,67,0,2,90,12532,11182,4929,4907,0,12,6253,3176
Tobacco manufacturers,1,0,0,0,0,1,,,,,,,,
Apparel and other finished products made from fabric and similar materials,19,10,10,0,0,8,4438,4159,2137,2002,45,0,2022,2045
Manufacturing,1051,433,385,10,18,638,84692,77772,34287,31689,558,1050,43485,26482
