Stage of disposition,All C cases — Number,All C cases — Percent of total closed,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Total number of cases closed,26989,100.0,17985,100.0,5975,100.0,1780,100.0,665,100.0,84,100.0,500,100.0
Before issuance of complaint,23365,86.5,15346,85.4,5457,91.3,1540,86.5,541,96.3,65,77.4,446,89.2
"After issuance of complaint, before opening of hearing",1795,6.6,1354,7.5,243,4.1,154,8.7,1,0.2,10,11.9,27,5.4
"After hearing opened, before issuance of administrative law judge's decision",211,0.8,168,0.9,27,0.4,15,0.8,1,0.2,0,0,0,0
"After administrative law judge's decision, before issuance of Board decision",1756,6.5,1300,7.2,270,4.5,98,5.5,5,0.7,5,6.0,12,2.4
After Board order adopting administrative law judge's decision in absence of exceptions,16,0.1,12,0.1,1,0.0,0,0,0,0,0,0,0,0
"After Board decision, before circuit court decree",853,3.2,654,3.6,146,2.4,41,2.3,14,2.1,1,1.2,9,1.8
"After circuit court decree, before Supreme Court action",441,1.6,364,2.0,70,1.2,9,0.5,0,0,0,0,0,0
After Supreme Court action,55,0.2,47,0.3,8,0.1,1,0.1,0,0,0,0,0,0
