Stage of disposition,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases 1 / Number of cases,RC cases 1 / Percent of cases closed,RM cases 1 / Number of cases,RM cases 1 / Percent of cases closed,RD cases 1 / Number of cases,RD cases 1 / Percent of cases closed
Total number of cases closed,8840,100.0,7415,100.0,868,100.0,557,100.0
Before issuance of notice of hearing,4884,55.2,4105,55.4,487,56.1,292,52.4
"After issuance of notice of hearing, before opening of hearing",1649,18.7,1368,18.4,185,21.3,96,17.2
"After hearing opened, before issuance of Board decision",427,4.8,363,4.9,37,4.3,27,4.9
After issuance of Board decision,1880,21.3,1579,21.3,159,18.3,142,25.5
