row_label,Total / Number,Total / Percent by type,By employer / Number,By employer / Percent by type,By union / Number,By union / Percent by type,By both parties / Number,By both parties / Percent by type
All representation elections,504,100.0,174,34.5,311,61.7,19,3.8
By type of case:,,,,,,,,
RC cases,442,100.0,155,35.1,270,61.1,17,3.8
RM cases,11,100.0,3,27.3,7,63.6,1,9.1
RD cases,51,100.0,16,31.4,34,66.6,1,2.0
By type of election:,,,,,,,,
Consent elections,11,100.0,6,54.5,5,45.5,0,
Stipulated elections,383,100.0,129,33.7,241,62.9,13,3.4
Expedited elections,0,,0,,0,,0,
Regional Director-directed elections,106,100.0,39,36.8,61,57.5,6,5.7
Board-directed elections,4,100.0,0,,4,100.0,0,
