Size of establishment (number of employees),Total — Number of situations,Total — Percent of all situations,Total — Cumulative percent of all situations,Type of situations — CA — Number,Type of situations — CA — Percent by size class,Type of situations — CB — Number,Type of situations — CB — Percent by size class,Type of situations — CC — Number,Type of situations — CC — Percent by size class,Type of situations — CD — Number,Type of situations — CD — Percent by size class,Type of situations — CE — Number,Type of situations — CE — Percent by size class,Type of situations — CG — Number,Type of situations — CG — Percent by size class,Type of situations — CP — Number,Type of situations — CP — Percent by size class,Type of situations — CA-CB combinations — Number,Type of situations — CA-CB combinations — Percent by size class,Type of situations — Other C combinations — Number,Type of situations — Other C combinations — Percent by size class
Totals,26725,100.0,,20219,100.0,5356,100.0,374,100.0,141,100.0,20,100.0,30,100.0,82,100.0,277,100.0,33,100.0
Under 10,2001,7.5,7.5,1522,7.5,345,6.4,47,12.6,23,16.3,2,10.0,1,3.3,17,20.7,37,13.4,7,21.2
