Division and State,Number of cases received in 1945 / All cases,Number of cases received in 1945 / Unfair labor practice cases / Number,Number of cases received in 1945 / Unfair labor practice cases / Percent of total,Number of cases received in 1945 / Representation cases / Number,Number of cases received in 1945 / Representation cases / Percent of total,Percent increase or decrease compared with 1944 / Unfair labor practice cases,Percent increase or decrease compared with 1944 / Representation cases
South Atlantic,918,269,11.1,649,8.9,-1.5,+9.3
East South Central,503,154,6.3,349,4.8,-7.2,-5.2
West South Central,693,166,6.8,527,7.2,+1.2,+24.6
Mountain,320,66,2.7,254,3.5,-15.4,+14.9
Pacific,1157,254,10.5,903,12.3,+24.5,+32.4
Outlying Areas,275,66,2.7,209,2.9,+106.3,+422.5
