Method and stage of disposition,All C cases / Number,All C cases / Percent of total closed by method,CA cases / Number,CA cases / Percent of total closed,CB cases / Number,CB cases / Percent of total closed,CC cases / Number,CC cases / Percent of total closed,CD cases / Number,CD cases / Percent of total closed,CE cases / Number,CE cases / Percent of total closed,CP cases / Number,CP cases / Percent of total closed
Total number of cases closed,15587,100,10643,100,2784,100,1220,100,483,100,86,100,371,100
Agreement of the parties,4046,26.0,2686,27.1,522,18.4,525,43.0,1,0.2,21,24.4,108,29.4
Informal settlement,3855,24.6,2572,26.0,480,17.2,484,39.7,1,0.2,20,23.2,98,26.5
Informal settlement sub-stage,,,,,,,,,,,,,,
Formal settlement,191,1.2,114,1.1,42,1.5,29,2.4,,,1,1.2,10,2.7
Formal settlement sub-stage,,,,,,,,,,,,,,
Compliance with—,841,,628,5.9,103,3.7,75,6.1,,,,,19,5.1
Compliance,,,,,,,,,,,,,,
