Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
"22-CC-25, 29, 22-CD-3","Hod Carriers, Laborers Local 472, and Compressed Air Workers Local 147; Engineers Operating Local 825; Molders Local 11 (Ernest Renda Contracting Co. et al.)","Jan. 5, 1959",10 (l),,,"Jan. 20, 1959 (Local 147 only)",,,Withdrawn.
2-CC-491,"Teamsters, Local 810 (Wilford Auto Sales, Inc.)","Jan. 14, 1959",10 (l),,,,,"May 20, 1959",Do.
21-CD-107,"Teamsters, Local 208 (Reserve Supply Corp. of L.A., Inc.)","Jan. 22, 1959",10 (l),,,,,"Mar. 4, 1959",Do.
Additional case rows present,,,,,,,,,
