Division and State 1,Total,Number of elections in which representation rights were won by — AFL-CIO affiliates,Number of elections in which representation rights were won by — Unaffiliated unions,In which no representative was chosen,Employees eligible to vote,Total valid votes cast,Valid votes cast for — AFL-CIO affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union,Employees in units choosing representation
Total,4729,2619,323,1787,458904,410619,199441,62321,148857,264920
New England,316,166,18,132,41453,37513,17941,3753,15819,21857
New England states (ME/NH/VT/MA/RI/CT),,,,,,,,,,
Middle Atlantic,750,436,77,237,88349,80008,19140,19422,21478,61843
East North Central,1167,647,89,431,116605,102809,53423,12492,36894,65019
West North Central,556,316,27,213,28078,25373,12069,3456,9848,15625
South Atlantic,463,229,17,217,58185,52995,22190,8093,22712,27220
"Continued on page 2 with East/West South Central, Mountain, Pacific, Outlying",,,,,,,,,,
