Category,Amount
Salaries,6843165
Travel,580032
Transportation of things,14650
Communication services,223146
Rents and utility services,36760
Printing and reproduction,225629
Other contractual services,195074
Services performed by other agencies,4114
Supplies and materials,92428
Equipment,40333
"Refunds, awards, and indemnities",325
Taxes and assessments,7546
"Grand total, obligations and expenditures for salaries and expenses",8263202
