Method and stage of disposition,Number of cases,Percent of total closed
Total number of cases closed before issuance of complaint,492,100.0
Agreement of the parties—Informal settlement,196,39.8
Agreement — Before 10(k) notice,181,36.8
"Agreement — After 10(k) notice, before opening of 10(k) hearing",12,2.4
"Agreement — After opening of 10(k) hearing, before issuance of Board decision and determination of dispute",3,0.6
Compliance with Board decision and determination of dispute,23,4.7
Withdrawal,200,40.7
Withdrawal — Before 10(k) notice,174,35.4
"Withdrawal — After 10(k) notice, before opening of 10(k) hearing",21,4.3
"Withdrawal — After opening of 10(k) hearing, before issuance of Board decision",2,0.4
Withdrawal — After Board decision and determination of dispute,3,0.6
Dismissal,73,14.8
Dismissal — Before 10(k) notice,72,14.6
"Dismissal — After 10(k) notice, before opening of 10(k) hearing",1,0.2
"Dismissal — After opening of 10(k) hearing, before issuance of Board decision",0,0
Dismissal — By Board decision and determination of dispute,0,0
