row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Donstruction,2.305,2013,876,732,256,109,2,38,292,272,19,1
Wholesale trade,1558,525,394,69,38,7,1,16,1033,907,71,15
Retail trade,2375,1025,756,118,49,6,4,92,1350,1089,162,99
"Finance, insurance, and real estate",123,58,51,3,3,0,0,1,65,62,0,3
"Dansportation, communication, and other public utilities",2359,1459,935,413,73,21,2,15,900,801,60,39
Local passenger transportation,,91,68,23,0,0,0,0,62,53,5,4
"Motor freight, warehousing, and transportation services","153 1,232",741,538,147,35,11,2,8,491,442,30,19
Water transportation,427,343,148,167,24,2,0,2,84,78,5,1
Other transportation,79,39,22,8,4,2,0,3,40,38,0,2
Communications,226,94,78,8,2,4,0,2,132,111,12,9
"Heat, light, power, water, and sanitary services",242,151,81,60,8,2,0,0,91,79,8,4
Services,1373,814,544,202,33,9,7,19,559,497,39,23
