row_label,col_1
1 Applications for fees and expenses before the NLRB,1 Applications for fees and expenses before the NLRB
A Filed with Board,46
B Hearings held,1
C Awards ruled on,
Granting,7
Denying,40
2 By Board,
Granting,3
Denying,32
D Amount of fees and expenses in cases ruled on by Board,
Claimed,490096
Recovered,39226
II Applications for fees and expenses before the circuit courts of appeals,
A Awards ruled on,
Granting,o
Denying,
,16
B Amounts of fees and expenses recovered pursuant to court award,0
