Type of litigation,Total—all courts / Number decided,Total—all courts / Court determination / Upholding Board position,Total—all courts / Court determination / Contrary to Board position,In courts of appeals / Number decided,In courts of appeals / Court determination / Upholding Board position,In courts of appeals / Court determination / Contrary to Board position,In district courts / Number decided,In district courts / Court determination / Upholding Board position,In district courts / Court determination / Contrary to Board position
Totals—all types,42,40,2,15,15,0,27,25,2
NLRB-initiated actions,4,4,0,4,4,0,0,0,0
NLRB-initiated,,,,,,,,,
Actions by other parties,38,36,2,11,11,0,27,25,2
To restrain NLRB from—,26,24,2,8,8,0,18,16,2
Restrain-NLRB,,,,,,,,,
To compel NLRB to—,12,12,0,3,3,0,9,9,0
Compel-NLRB,,,,,,,,,
