Type of litigation,Number of proceedings / Total—all courts / Non- ter- minat- ing ac- tion,Number of proceedings / Total—all courts / Court de- decid- ing,Number of proceedings / Total—all courts / Con- cilia- tion,Number of proceedings / In courts of appeals / Non- ter- minat- ing ac- tion,Number of proceedings / In courts of appeals / Court Re- fused to find,Number of proceedings / In courts of appeals / Con- cilia- tion,Number of proceedings / In district courts / Non- ter- minat- ing ac- tion,Number of proceedings / In district courts / Court Re- fused to find,Number of proceedings / In district courts / Con- cilia- tion,Number of proceedings / In bankruptcy courts / Non- ter- minat- ing ac- tion,Number of proceedings / In bankruptcy courts / Con- cilia- tion
Totals—all types,54,32,2,8,8,0,20,19,1,6,1
NLRB-initiated actions or interventions,,,,,,,,,,,
Actions by other parties,29,3,,7,,,17,17,,,
To compel NLRB to,13,13,,4,4,,9,9,,,
