row_label,col_1,col_2,col_3,col_4
Cases decided by United States courts of appeals,84,100.0,1717,100.0
Board orders enforced in full,47,55.9,1024,596
Board orders enforced with modification,19,22.6,346,20.2
Remanded to Board,4,4.8,38,2.2
Board orders partially enforced and partially re- manded,1,1.2,12,.7
Board orders set aside,13,15.5,297,17.3
Cases decided by United States Supreme Court,7,100.0,104,100.0
Board orders enforced in full,3,43.0,70,67.3
Board orders enforced with modification,,,11,10.5
Board orders set aside Remanded to Board,3,43.0,13,125
Remanded to court of appeals,1,,1 7,10
Board's request for remand or modification of en- forcement order denied,,14.0,,6.7
,,,1,1.0
Contempt ease enforced,,,1,1.0
