Type of case,Total rerun elections Number,Total rerun elections Percent by type,Union Certified Number,Union Certified Percent by type,No union chosen Number,No union chosen Percent by type,Outcome of original election revised Number,Outcome of original election revised Percent of total rerun elections
All elections,186,100.0,81,43.5,105,56.5,67,36.0
RC elections,174,100.0,79,45.4,95,54.6,65,34.9
RM elections,5,100.0,2,40.0,3,60.0,2,1.1
RD elections,7,100.0,0,,7,100.0,0,0
