row_label,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen,Number employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employees in elections in which no representative chosen
Food and kindred products,425,202,111,74,6,11,223,27297,24353,11041,5774,4768,71,428,13312,10035
Tobacco manufactures,1,1,,1,,,,38,36,19,,19,,,17,
Textile mill products,78,29,22,1,,,49,10758,9647,4356,3879,228,6,,5291,3189
Apparel and other finished products made from fabrics and similar materials,96,28,24,3,,1,68,12540,11101,4420,4420,217,,64,6700,3865
Lumber and wood products (except furniture),210,95,28,13,2,1,129,14734,12718,4738,1733,529,404,6,7171,4184
Furniture and fixtures,127,51,34,12,3,1,76,11766,10184,4151,1943,904,211,,5374,3229
Paper and allied products,138,75,32,15,4,3,75,12731,10786,5084,2538,1031,317,189,5038,3128
"Printing, publishing, and allied industries",262,123,97,22,1,1,139,11738,10202,4310,3574,1425,884,13,5807,3002
Chemicals and allied products,193,90,47,33,5,5,103,12768,11337,5238,2873,1556,421,381,6099,5987
Petroleum refining and related industries,28,12,8,1,1,2,16,2614,2375,1066,692,23,83,221,1259,915
Rubber and miscellaneous plastics products,198,84,47,22,8,7,114,15571,14092,6207,4046,1054,908,199,7885,4179
Leather and leather products,37,11,9,2,,,26,2940,2694,1201,1009,121,,,2026,1776
"Stone, clay, glass, and concrete products",180,79,36,31,5,7,101,10002,9160,4357,2193,1538,94,1102,4803,4704
Primary metal industries,227,112,70,27,11,4,115,21789,18757,9217,5538,1040,1082,1517,9540,9840
Fabricated metal products (except machinery and transportation equipment),389,158,96,38,22,2,229,21172,18461,8287,5635,1344,1008,1102,8393,8250
Machinery (except electrical),319,147,100,29,9,8,172,23140,20170,8883,5613,1452,779,1032,11287,9278
"Electrical and electronic machinery, equipment, and supplies",210,80,54,16,6,5,130,23371,20200,8588,6032,902,1801,96,12087,5879
Transportation equipment,142,61,39,13,7,1,81,17297,16226,9845,1727,799,6633,686,6381,5705
Ship and boat building and repairing,23,10,8,1,1,,13,4967,4539,1618,1427,191,,,2961,440
Automobiles and other transportation equipment,61,27,16,7,4,,34,,,,,,,,,
"Measuring, analyzing, and controlling instruments, photographic, medical, and optical goods, watches and clocks",80,27,19,8,,,53,5455,5007,2701,1859,536,10,304,2304,2562
Miscellaneous manufacturing industries,136,44,28,13,3,,92,10152,9196,4620,2167,1299,478,337,4576,4400
Manufacturing (subtotal),3565,1539,958,354,140,87,2026,285372,258886,125367,73806,21819,18575,9275,135127,104343
