row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Nevada,9,0,o,o,o,o,9,1350,1107,235,184,o,51,0,872,0,0
Mountain,49,10,9,1,o,0,39,2972,2556,903,667,60,51,125,1653,586,586
Washington Oregon California,69 29,12 8,9 3,3 3,0 2,0 o,57 21,"1,288 1,119","1,060 880",397 240,346 76,49 125,0 37,2 2,663 640,306 262,306 262
,90,23,19,4,0,0,67,3392,2858,1290,1154,102,o,34,1568,1669,1669
Alaska,3,1,o,I,o,0,2,40,32,22,10,12,o,o,10,28,28
Hawaii,o,o,o,o,o,o,o,o,o,o,o,o,o,o,o,0,0
Guam,0,0,0,0,0,o,o,o,o,o,o,o,o,o,0,o,o
"Pacific ,",191,44,31,11,2,0,147,5839,4830,1949,1586,288,37,38,2881,2265,2265
Puerto Rico Virgin Islands,2 1,I o,o o,o o,o o,I o,I I,50 8,45 8,36 1,0 1,o 0,0 o,36 0,9 7,42 o,42 o
Outlying Areas,3,1,o,o,o,1,2,58,53,37,1,o,0,36,16,42,42
"Total, all States and areas",,,140,47,,14,654,36889,31724,13016,9668,2026,,,18708,,
,865,211,,,,,,,,,,,545,777,,,
,,,,,10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,13088
