Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
"9-CB-32, 9-CC-90, 9-CD-22","AFL-Southwestern West Virginia Building Trades Council et al. (Allen & Garcia Co, et al.)","Sept. 5, 1956",10 (l),,,"Sept. 14, 1956 (consent)",,"Jan. 25, 1957","Nov. 20, 1956"
30-CC-26,"CIO-Broadcast Technicians, Local 1225 (Rollins Broadcasting Inc)","Sept. 13, 1956",10 (l),,,,,"May 28, 1957","May 9, 1957"
15-CC-67,"AFL-Engineers, Operating, Locals 406, 406A, 406B, and 406C (Jahncke Service Inc)","Sept. 17, 1956",10 (l),,,"Oct. 8, 1956",,,
14-CC-97,"AFL-Carpenters, Local 109 (W. H. Conda Brick Contractor)","Sept. 19, 1956",10 (l),,,"Oct. 1, 1956",,,
Additional case rows present,,,,,,,,,
