Section,Injunction proceedings — Total proceedings,"Injunction proceedings — Pending in district court Oct. 1, 1997",Injunction proceedings — Filed in district court fiscal year 1998,Disposition of injunctions — Total dispositions,Disposition of injunctions — Granted,Disposition of injunctions — Denied,Disposition of injunctions — Settled,Disposition of injunctions — Withdrawn,Disposition of injunctions — Dismissed,Disposition of injunctions — Inactive,"Pending in district court Sept. 30, 1998"
Under Sec. 10(e) total,0,0,0,0,0,0,0,0,0,0,0
Under Sec. 10(j) total,37,5,32,33,19,2,10,2,0,0,4
Under Sec. 10(l) total,20,7,13,18,5,1,6,3,0,3,2
