row_label,Total valid votes cast,Won — Total,Won — Votes for unions — Total,Won — Votes for unions — AFL-CIO,Won — Votes for unions — Teamsters,Won — Votes for unions — Other national,Won — Votes for unions — Other local,Won — Total votes for no union,Lost — Total,Lost — Votes for unions — Total,Lost — Votes for unions — AFL-CIO,Lost — Votes for unions — Teamsters,Lost — Votes for unions — Other national,Lost — Votes for unions — Other local,Lost — Total votes for no union
AFL-CIO unions (single),286961,58109,53109,53109,,,,5000,27486,71094,71094,,,,135304
Teamsters,79462,13506,13506,,13506,,,7233,18707,,,,,,39022
Other national unions,52616,11366,11366,,,11366,,5906,13412,,,,13412,,21882
Other local unions,19377,6000,6000,,,,6000,2630,3163,,,,,3163,7584
1-union elections (subtotal),438448,85975,53109,53109,13506,11366,6000,43305,106376,71094,71094,18707,13412,3163,202792
2-union elections (subtotal),45795,27523,13636,3234,1646,9007,3523,,5503,2680,1058,1360,405,,9246
