row_label,Total,Number of cases - Identification of petitioner - Employer,Number of cases - Identification of petitioner - Union,Number of cases - Identification of petitioner - Courts,Number of cases - Identification of petitioner - State boards
"Pending October 1, 1995",1,1,0,0,0
Received fiscal 1997,5,5,0,0,0
On docket fiscal 1997,6,6,0,0,0
Closed fiscal 1997,6,6,0,0,0
"Pending September 30, 1997",0,0,0,0,0
