row_label,Total,Number of cases / Identification of petitioner / Employer,Number of cases / Identification of petitioner / Union,Number of cases / Identification of petitioner / Courts,Number of cases / Identification of petitioner / State boards
"Pending October 1, 1984",1,1,0,0,0
Received fiscal 1985,3,3,0,0,0
On docket fiscal 1985,4,4,0,0,0
Closed fiscal 1985,3,3,0,0,0
"Pending September 30, 1985",1,1,0,0,0
