row_label,col_1,col_2,col_3,col_4,col_5,col_6
•,116,,17.5,5888,,29.1
"Cases pending June 30, 1937._ Cases received July 1,1937, toJune 30, 1938_",546,,82.5,14310,,70.9
Total cases on docket,662,,100.0,20196,,100.0
Cases closed before issuance of complaint:,,,,,,
By settlement,182,33.4,27.5,9932,55.4,49.2
By dismissal,237,43.5,32.8,3773,21.5,18.7
By withdrawal,108,19.9,16.3,3758,21.0,18.6
By transfer to other agencies,7,1.3,1.1,70,. 4,. 3
Total cases closed before issuance of complaint,534,98.1,80.7,17531,97.9,80.8
Cases closed after issuance of complaint:,,,,,,
By settlement before hearing,5,.9,.8,10,. 1,. 1
By settlement after hearing,2,. 4,.3,387,2.0,1.8
By dismissal before issuance of Board decision,2,. 4,. 3,3,(0,(0 •
By withdrawal before issuance of Board decision By intermediate report finding no violation By compliance with intermediate,1,.2,.1,1,(I),(I)
report By dismissal by Board decision By compliance with Board decision,,,,,,1.9
Total cases closed after issuance of complaint,10,1.9,1.5,381,2.1,88.7
"Total cPses closed July 1, 1937 to June 30, 1938",544,100.0,82.2,17912,100.0,
"Cases pending June 30, 1938:",,,,,,
Before hearing,104,,15.7,2227,,11.0
° After hearing: Awaiting intermediate report,6,,. 9,34,,.2
Awaiting decision,7,,1.1,15,,. 1
Awaiting compliance with cease and desist orders,1,,.1,8,,(I)
"Total cases pending June 30, 1938_ _ _",118,,17.8,2284,,11.3
