Division and State,Number of cases received in 1946 / All cases,Number of cases received in 1946 / Unfair labor practice cases / Number,Number of cases received in 1946 / Unfair labor practice cases / Percent of total,Number of cases received in 1946 / Representation cases / Number,Number of cases received in 1946 / Representation cases / Percent of total,Percent increase or decrease compared with 1945 / Unfair labor practice cases,Percent increase or decrease compared with 1945 / Representation cases
Middle Atlantic,2702,842,22.1,1860,22.0,+68.5,+18.1
East North Central,2767,972,25.4,1795,21.7,+55.1,+18.3
West North Central,943,278,7.3,670,8.0,+54.4,+25.6
South Atlantic,1234,412,10.8,832,10.4,+43.4,+33.7
East South Central,604,203,5.3,403,4.8,+25.8,+9.5
West South Central,819,221,5.8,598,7.1,+27.4,+9.5
Mountain,307,91,2.4,216,2.6,+25.7,+0.2
Pacific,1685,500,14.1,1185,14.1,+99.6,+31.6
Outlying areas,161,41,1.2,110,1.3,+6.6,-1.8
