row_label,col_1,col_2,col_3,col_4,col_5,col_6
".... n, n v . , 2,S,SIR:: .tici",go! 3 e,"c, a. F.4 .00,0",8,0,0,§ tz
,00 00,0 0,0,0,o,"0, 0"
"-- ,",,"0 c, 00",0,,o,", -"
"3 1,--",3,:V. 00,",-. -,",0,0,"0 2,"
g,F3 .,.- 0.,t..,0,0,a
"ge k . 3 !, .., - g 66 n .-I",", k o a","0 , c: 3, 00.000","0 ,24",0,0,oa n a
§§ cp r 4. a,z,"c+1 L , e2 , . %CI ot 0 0",8,0,0,r _ - ■
8,8,2 v n,",",,"ao,00s","v,"
2,2,"5 n , -;1",'4',,0,"0.,"
,.-7,,P. n,n,g3,R a
n c6,n vi,0,2 .-Z,,,n cn u6
t ■ 1■1 1.,,",..7 ...■",0 vi,,,0 t.rJ o6
"gmge .. .. ,-1",§ o6 ....1,"42V,z,S2F7,1 ..-Z ...■","tz, ,4",n,q,§ .-■ cl
0 a,-a°,0 -2 7E r: 4 Ea.1 4gg--gg -0' E 1'3,,8 p. riD g E.,C),2 _80
