Industrial group,All cases — Cases — Number,All cases — Cases — Percent of total,All cases — Workers involved — Number,All cases — Workers involved — Percent of total,Unfair labor practice cases — Cases — Number,Unfair labor practice cases — Cases — Percent of total,Unfair labor practice cases — Workers involved — Number,Unfair labor practice cases — Workers involved — Percent of total,Representation cases — Cases — Number,Representation cases — Cases — Percent of total,Representation cases — Workers involved — Number,Representation cases — Workers involved — Percent of total
Manufacturing,6653,72.7,1957512,82.9,3386,70.3,1201492,82.1,3267,75.4,1021993,86.0
Manufacturing: Food and kindred products,726,8.0,132030,5.6,397,8.3,78775,5.4,329,7.6,53255,4.5
Manufacturing: Iron and steel and their products,5927,,,,,,,,,,,
"Agriculture, forestry, and fishing",27,.3,3004,.1,14,.3,755,.1,13,.3,2492,.2
Mining,243,2.7,66845,2.8,149,3.1,21560,1.7,94,2.2,45254,3.7
