Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and order
36-CC-44,"AFL-Teamsters, Local 591, and Joint Council No 37 (A.F. Lowes Lumber Co)","Mar. 26, 1956",10 (l) (W D Wash),,,,,,"June 7, 1956"
22-CC-379,"AFL-Teamsters, Locals 641, 506 (Hubals Trucking Service)","Mar. 28, 1956",10 (l),,,"Apr. 13, 1956 (consent) (took only)",,,
22-CC-273,"AFL-Teamsters, Local 162, and Joint Council No 37 (A.F. Lowes Lumber Co) (Buffalo-Quigan Corp)","Mar. 29, 1956",10 (l) (Oreg),,,,,,"June 7, 1956"
17-CC-30,"AFL-Machinists, District Lodge No 71 (E. Faubion Co)","Mar. 29, 1956",10 (l),,,,,"Mar. 30, 1956",Withdrawn
Additional case rows present,,,,,,,,,
