row_label,Circuit courts of appeals (headquarters),Total fiscal year 1970,Total fiscal years 1936-69,Affirmed in full / Fiscal year 1970 Number,Affirmed in full / Fiscal year 1970 Percent,Affirmed in full / Cumulative fiscal years 1936-69 Number,Affirmed in full / Cumulative fiscal years 1936-69 Percent,Modified / Fiscal year 1970 Number,Modified / Fiscal year 1970 Percent,Modified / Cumulative fiscal years 1936-69 Number,Modified / Cumulative fiscal years 1936-69 Percent,Remanded in full / Fiscal year 1970 Number,Remanded in full / Fiscal year 1970 Percent,Remanded in full / Cumulative fiscal years 1936-69 Number,Remanded in full / Cumulative fiscal years 1936-69 Percent,Affirmed in part and remanded in part / Fiscal year 1970 Number,Affirmed in part and remanded in part / Fiscal year 1970 Percent,Affirmed in part and remanded in part / Cumulative fiscal years 1936-69 Number,Affirmed in part and remanded in part / Cumulative fiscal years 1936-69 Percent,Set Aside / Fiscal year 1970 Number,Set Aside / Fiscal year 1970 Percent,Set Aside / Cumulative fiscal years 1936-69 Number,Set Aside / Cumulative fiscal years 1936-69 Percent
Total all circuits,322,1353,219,68.0,798,58.5,32,9.9,286,21.1,20,6.2,57,4.2,19,5.8,20,1.5,32,9.9,195,14.4,
"Boston, Mass.",16,65,11,73.3,48,69.0,,,,,,,,,,,,,,,,,
