Case stage,Total,Identification of filing party — AFL-CIO unions,Identification of filing party — Teamsters,Identification of filing party — Other national unions,Identification of filing party — Other local unions,Identification of filing party — Individuals,Identification of filing party — Employers
"All cases — Pending October 1, 1991",26919,11247,2532,1011,1265,8533,2331
All cases — Received fiscal 1992,38943,14841,4081,1027,1176,15418,2400
All cases — On docket fiscal 1992,65862,26088,6613,2038,2441,23951,4731
All cases — Closed fiscal 1992,39074,14263,4181,912,1295,15529,2894
"All cases — Pending September 30, 1992",26788,11825,2432,1126,1146,8422,1837
"Unfair labor practice cases — Pending October 1, 1991",23696,9640,1954,908,1044,8047,2103
Unfair labor practice cases — Received fiscal 1992,32442,11711,2791,849,857,14169,2065
Unfair labor practice cases — On docket fiscal 1992,56138,21351,4745,1757,1901,22216,4168
Unfair labor practice cases — Closed fiscal 1992,32750,11425,2810,730,934,14294,2557
"Unfair labor practice cases — Pending September 30, 1992",23388,9926,1935,1027,967,7922,1611
"Representation cases — Pending October 1, 1991",2958,1555,569,100,198,408,128
Representation cases — Received fiscal 1992,6076,2996,1254,158,289,1130,249
Representation cases — On docket fiscal 1992,9034,4551,1823,258,487,1538,377
Representation cases — Closed fiscal 1992,5860,2707,1342,164,325,1090,232
"Representation cases — Pending September 30, 1992",3174,1844,481,94,162,448,145
"Union-shop deauthorization cases — Pending October 1, 1991",78,,,,,78,
Union-shop deauthorization cases — Received fiscal 1992,119,,,,,119,
Union-shop deauthorization cases — On docket fiscal 1992,197,,,,,197,
Union-shop deauthorization cases — Closed fiscal 1992,145,,,,,145,
"Union-shop deauthorization cases — Pending September 30, 1992",52,,,,,52,
"Amendment of certification cases — Pending October 1, 1991",10,4,5,0,0,0,1
Amendment of certification cases — Received fiscal 1992,22,5,5,4,3,0,5
Amendment of certification cases — On docket fiscal 1992,32,9,6,4,7,0,6
Amendment of certification cases — Closed fiscal 1992,20,5,5,1,4,0,5
"Amendment of certification cases — Pending September 30, 1992",12,4,1,3,3,0,1
"Unit clarification cases — Pending October 1, 1991",177,48,8,3,19,0,99
Unit clarification cases — Received fiscal 1992,284,129,31,16,27,0,81
Unit clarification cases — On docket fiscal 1992,461,177,39,19,46,0,180
Unit clarification cases — Closed fiscal 1992,299,126,24,15,32,0,102
"Unit clarification cases — Pending September 30, 1992",162,51,15,4,14,0,78
