row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 1993","*19,702",12782,1028,981,4911,
Received fiscal 1994,26058,16863,820,1114,7261,
On docket fiscal 1994,45760,"- 29,645",1848,2095,12172,
Closed fiscal 1994,23705,14953,745,965,7042,
"Pending September 30, 1994",22055,14692,1103,1130,5130,
,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases
"Pending October 1, 1993","*4,030",55,3,30,3150,792
Received fiscal 1994,7817,77,0,36,6945,759
On docket fiscal 1994,11847,132,3,66,10095,1551
Closed fiscal 1994,7660,61,2,29,6731,837
"Pending September 30, 1994",4187,71,1,37,3364,714
,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases
"Pending October 1, 1993",*546,1,,12,,533
Received fiscal 1994,532,16,,16,,500
On docket fiscal 1994,1078,17,,28,,1033
Closed fiscal 1994,624,15,,23,,586
"Pending September 30, 1994",454,2,,5,,447
,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases
"Pending October I, 1993",*127,3,,,,123
Received fiscal 1994,211,14,,4,,192
On docket fiscal 1994,338,17,,5,,- 315
Closed fiscal 1994,186,13,,3,,170
Pending September 30. 1994,152,4,,2,,145
,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases
"Pending October 1, 1993",50,2,,4,2,42
Received fiscal 1994,27,0,,0,1,26
On docket fiscal 1994,77,2,,4,3,68
Closed fiscal 1994,35,2,,2,0,31
"Pending September 30, 1994",42,0,,2,3,37
,CG cases,CG cases,CG cases,CG cases,CG cases,CG cases
"Pending October I, 1993",20,,,,,20
Received fiscal 1994,23,,,,,22
On docket fiscal 1994,43,,,,,42
Closed fiscal 1994,27,,,,,27
"Pending September 30, 1994",16,,,,,15
,Cl' cases,Cl' cases,Cl' cases,Cl' cases,Cl' cases,Cl' cases
"Pending October 1, 1993",51,2,,,,48
Received fiscal 1994,114,2,,,,112
On docket fiscal 1994,165,4,,,,160
Closed fiscal 1994,109,3,,,,105
"Pending September 30, 1994",56,1,,,,55
