row_label,Cases in which formal actions taken,Total formal actions taken,RC,RM,RD,UD
"Hearings completed, total",2479,2291,1994,82,215,10
Hearings — Initial hearings,2183,1995,1726,74,195,8
Hearings — Hearings on objections and/or challenges,296,296,268,8,20,2
"Decisions issued, total",2126,1874,1625,65,184,9
By regional directors,1971,1729,1497,60,172,7
By RD — Elections directed,1711,1513,1317,42,154,5
By RD — Dismissals on record,260,216,180,18,18,2
By Board,155,145,128,5,12,2
Board — Transferred by regional directors for initial decision,57,53,43,3,7,2
Board (transferred) — Elections directed,42,38,31,3,4,1
Board (transferred) — Dismissals on record,15,15,12,0,3,1
Board — Review of regional directors' decisions: Requests for review received,798,693,629,20,44,3
Board (review) — Withdrawn before request ruled upon,5,4,4,0,0,0
"Board (review) — Board action on request ruled upon, total",687,603,554,17,32,3
Board (review action) — Granted,101,96,91,2,3,1
Board (review action) — Denied,585,507,463,15,29,2
Board (review action) — Remanded,1,0,0,0,0,0
"Board (review) — Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board (review) — Board decision after review, total",98,92,85,2,5,0
Board (review decision) — Regional directors' decisions: Affirmed,53,51,46,2,3,0
Board (review decision) — Regional directors' decisions: Modified,26,23,21,0,2,0
Board (review decision) — Regional directors' decisions: Reversed,19,18,18,0,0,0
Board (review decision) — Outcome: Election directed,79,76,71,0,5,0
Board (review decision) — Outcome: Dismissals on record,19,16,14,2,0,0
