Division and State,Total elections,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Teamsters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representation was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Teamsters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Votes for no union,Eligible employees in choosing representation
New England,486,229,134,53,10,32,257,29628,26194,11725,7099,1673,624,2329,14509,9468
Middle Atlantic,1374,713,454,164,32,77,661,70706,64861,29373,20581,5222,1832,1738,35488,29323
East North Central,2032,948,489,302,110,47,1084,104775,92739,43836,24588,8000,7541,3607,48903,37912
West North Central,684,355,203,128,11,13,329,29520,25015,11764,7222,3486,439,617,13251,11571
"Individual state rows (Maine, New Hampshire, Vermont, Massachusetts, ...)",,,,,,,,,,,,,,,,
