Stage,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
CA cases — section header,,,,,,,
"Pending July 1, 1965 (CA)",4730,2845,543,181,95,1064,2
Received fiscal 1966 (CA),10902,5210,1414,482,370,3418,8
On docket fiscal 1966 (CA),15632,8055,1957,663,465,4482,10
Closed fiscal 1966 (CA),10643,5218,1350,472,272,3326,5
"Pending June 30, 1966 (CA)",4989,2837,607,191,193,1156,5
CB cases — section header,,,,,,,
"Pending July 1, 1965 (CB)",840,48,10,5,17,554,215
Received fiscal 1966 (CB),2869,60,16,17,46,2036,694
On docket fiscal 1966 (CB),3709,108,26,22,54,2590,909
Closed fiscal 1966 (CB),2784,67,18,16,21,2017,645
"Pending June 30, 1966 (CB)",925,41,8,6,33,573,264
CC cases — section header,,,,,,,
"Pending July 1, 1965 (CC)",439,8,1,10,11,10,399
Received fiscal 1966 (CC),1206,8,1,10,23,37,1113
On docket fiscal 1966 (CC),1645,16,2,33,34,47,1512
Closed fiscal 1966 (CC),1220,14,2,25,26,37,1116
"Pending June 30, 1966 (CC)",425,2,,8,8,10,396
CD cases — section header,,,,,,,
"Pending July 1, 1965 (CD)",154,9,0,0,3,5,137
Received fiscal 1966 (CD),486,17,1,10,23,16,419
On docket fiscal 1966 (CD),640,26,1,10,26,21,556
Closed fiscal 1966 (CD),483,15,0,10,23,13,422
"Pending June 30, 1966 (CD)",157,11,1,0,3,8,134
CE cases — section header,,,,,,,
"Pending July 1, 1965 (CE)",50,1,0,2,2,4,41
Received fiscal 1966 (CE),90,4,2,2,4,14,64
On docket fiscal 1966 (CE),140,5,2,4,6,18,105
Closed fiscal 1966 (CE),86,6,0,1,1,5,68
"Pending June 30, 1966 (CE)",54,0,0,3,1,13,37
CP cases — section header,,,,,,,
"Pending July 1, 1965 (CP)",99,2,1,0,2,1,93
Received fiscal 1966 (CP),380,2,1,18,2,9,334
On docket fiscal 1966 (CP),479,4,2,18,32,10,427
Closed fiscal 1966 (CP),371,2,2,18,2,6,341
"Pending June 30, 1966 (CP)",108,1,0,1,1,4,86
