Participating unions,Total valid votes cast,Valid votes cast in elections won total,Votes for unions Total,AFL-CIO,Teamsters,Other national,Other local,Total votes for no union,Valid votes cast in elections lost total,Votes for unions Total,AFL-CIO,Teamsters,Other national,Other local,Total votes for no union
AFL-CIO (RC),64024,13420,13420,13420,,,,6932,14947,14947,14947,,,,28855
Teamsters (RC),19339,3809,3809,,3809,,,1994,4470,4470,,4470,,,9066
Other national unions (RC),9801,1015,1015,,,1015,,722,2622,2622,,,2622,,5079
Other local unions (RC),5415,2647,2647,,,,2647,1208,459,459,,,,459,3101
1-union elections (RC),98716,21391,13420,13420,3809,1015,2647,10856,22504,14947,14947,4470,2622,459,44492
2-union elections,16469,12344,6376,736,267,0,5124,477,1365,615,474,224,32,,2302
AFL-CIO v AFL-CIO (RC),65,65,65,65,,,,0,0,,,,,,
Other 2-union,,,,,,,,,,,,,,,
3 (or more)-union elections (RC),1158,405,243,,,,,41,272,,,,,,427
Total RC elections,116343,34140,20039,14221,4549,1882,7670,11280,24122,15562,,5115,2912,461,46821
