row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Valid votes cast in elections won — Votes for unions — AFL-CIO unions,Valid votes cast in elections won — Votes for unions — Teamsters,Valid votes cast in elections won — Votes for unions — Other national unions,Valid votes cast in elections won — Votes for unions — Other local unions,Valid votes cast in elections won — Total votes for no union,Valid votes cast in elections lost — Total,Valid votes cast in elections lost — Votes for unions — AFL-CIO unions,Valid votes cast in elections lost — Votes for unions — Teamsters,Valid votes cast in elections lost — Votes for unions — Other national unions,Valid votes cast in elections lost — Votes for unions — Other local unions,Valid votes cast in elections lost — Total votes for no union
2-union RM elections (subtotal),279,238,134,11,0,93,35,2,0,0,0,0,0,
Total RM elections (RM GRAND TOTAL — votes),5529,1388,817,387,28,156,497,896,564,297,0,35,2742,
AFL-CIO [1-union RD],26005,6645,6645,0,0,0,4114,5140,5140,0,0,0,10106,
Teamsters [1-union RD],4617,842,0,842,0,0,497,980,0,980,0,0,2298,
Other national unions [1-union RD],819,119,0,0,119,0,58,214,0,0,214,0,428,
Other local unions [1-union RD],1418,258,0,0,0,258,136,205,0,0,0,205,819,
1-union RD elections (subtotal),32849,7864,6645,842,119,258,4805,6539,5140,980,214,205,13641,
2-union RD elections (subtotal),676,215,95,54,13,53,3,142,133,0,0,9,216,
Total RD elections (RD GRAND TOTAL — votes),33425,8079,6740,896,132,311,4808,6681,5273,980,214,214,13857,
