row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Maine…………………………………...,15,6,4,1,1,9,912,852,394,363,11,20,458,180
NewHampshire…………………………,11,6,5,1,0,5,341,318,168,74,53,41,150,156
Vermont………………………………...,13,8,7,0,1,5,2531,2332,1030,669,0,361,1302,557
Massachusetts…………………………..,82,35,29,4,2,47,7049,6520,2612,2487,82,43,3908,2372
RhodeIsland……………………………,15,10,6,2,2,5,605,559,325,188,41,96,234,261
Connecticut……………………………..,135,89,78,1,10,46,7299,6127,3495,2889,133,473,2632,4515
New England……………………..,271,154,129,9,16,117,18737,16708,8024,6670,320,1034,8684,8041
NewYork……………………………….,323,192,151,4,37,131,19352,15854,10108,8213,203,1692,5746,12981
New Jersey……………………………...,205,100,91,1,8,105,10224,8632,4335,3813,7,515,4297,4561
Pennsylvania……………………………,238,112,81,6,25,126,15848,13609,6946,4499,431,2016,6663,7852
Middle Atlantic…………………..,766,404,323,11,70,362,45424,38095,21389,16525,641,4223,16706,25394
Ohio……………………………………..,203,102,98,2,2,101,15007,13616,6802,6668,89,45,6814,6219
Indiana………………………………….,92,43,41,0,2,49,5364,4871,2154,2095,0,59,2717,2029
Illinois…………………………………..,240,112,98,3,11,128,15017,12602,7020,5763,367,890,5582,8370
Michigan………………………………..,199,100,95,2,3,99,13929,12027,5963,5865,57,41,6064,6750
Wisconsin………………………………,94,44,43,0,1,50,6905,6185,2709,2590,47,72,3476,1720
East North Central……………….,828,401,375,7,19,427,56222,49301,24648,22981,560,1107,24653,25088
Iowa…………………………………….,40,16,16,0,0,24,2134,1936,934,934,0,0,1002,611
Minnesota………………………………,84,56,50,0,6,28,4482,3804,2201,1974,14,213,1603,3529
Missouri………………………………...,113,58,54,1,3,55,5605,5097,2489,2148,22,319,2608,2759
NorthDakota……………………………,6,2,2,0,0,4,105,99,35,35,0,0,64,7
SouthDakota……………………………,6,4,4,0,0,2,293,280,132,132,0,0,148,92
Nebraska………………………………..,13,4,4,0,0,9,1667,1534,705,705,0,0,829,190
Kansas…………………………………..,27,8,7,1,0,19,1137,1017,393,368,25,0,624,178
West North Central……………….,289,148,137,2,9,141,15423,13767,6889,6296,61,532,6878,7366
