Action taken,Total all,Remedial action taken by — Employer — Total,Remedial action taken by — Employer — Agreement of parties — Informal settlement,Remedial action taken by — Employer — Agreement of parties — Formal settlement,Remedial action taken by — Employer — Pursuant to Recommendation of administrative law judge,Remedial action taken by — Employer — Pursuant to Order of Board,Remedial action taken by — Employer — Pursuant to Order of Court,Remedial action taken by — Union — Total,Remedial action taken by — Union — Agreement of parties — Informal settlement,Remedial action taken by — Union — Agreement of parties — Formal settlement,Remedial action taken by — Union — Pursuant to Recommendation of administrative law judge,Remedial action taken by — Union — Pursuant to Order of Board,Remedial action taken by — Union — Pursuant to Order of Court
B. By number of employees affected,,,,,,,,,,,,,
"Employees offered reinstatement, total",4177,4177,3464,274,8,219,182,,,,,,
Accepted,3488,3488,3168,117,7,88,108,,,,,,
Declined,689,689,316,157,1,131,74,,,,,,
Employees placed on preferential hiring list,373,373,157,10,34,117,53,0,0,0,0,0,0
Hiring hall rights restored,229,,,,,,,229,221,0,0,8,0
Objections to employment removed,203,,,,,,,203,203,0,0,0,0
Employees receiving backpay — From either employer or union,21408,21106,16908,625,583,2304,686,302,174,2,0,122,4
Employees receiving backpay — From both employer and union,14,11,10,0,0,0,1,3,0,0,0,3,0
"Employees reimbursed for fines, dues, and fees — From either employer or union",1064,759,459,38,0,156,106,305,82,0,0,217,6
"Employees reimbursed for fines, dues, and fees — From both employer and union",,,,,,,,,,,,,
