row_label,All R cases — Number,All R cases — Percent of cases closed,RC cases — Number,RC cases — Percent of cases closed,RM cases — Number,RM cases — Percent of cases closed,RD cases — Number,RD cases — Percent of cases closed,UD cases — Number,UD cases — Percent of cases closed
Total number of cases closed,12618,100.0,10000,100.0,827,100.0,1791,100.0,323,100.0
Before issuance of notice of hearing,3624,28.6,2292,22.8,468,56.7,864,48.1,215,66.6
"After issuance of notice, before close of hearing",6773,53.6,5788,57.8,263,31.8,722,40.3,16,5.0
"After hearing closed, before issuance of decision",79,0.7,23,0.2,3,0.4,53,3.0,,
After issuance of regional director's decision,2078,16.4,1795,18.1,89,10.8,194,10.8,88,27.2
After issuance of Board decision,64,0.7,55,0.6,4,0.5,1,0.0,4,1.2
