Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
  Circuit court of appeals decree,238,0.8,216,1.0,20,0.3,2,0.2,0,0.0,0,0.0,0,0.0,0,0.0
  Supreme Court action,8,0.0,7,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Withdrawn,9190,30.7,6591,31.4,2156,29.1,317,34.3,,,35,50.7,9,42.8,82,32.0
  Before issuance of complaint (withdrawn),8917,29.8,6376,30.4,2110,28.5,312,33.8,,,34,49.2,9,42.8,76,29.7
Dismissed,10539,35.2,6380,30.3,1899,25.6,152,16.4,,,18,26.0,3,14.2,83,32.4
  Before issuance of complaint (dismissed),10270,34.3,6178,29.4,3845,51.9,147,15.9,,,19,27.5,6,28.5,75,29.2
10(j) actions (see Table 7A for details of dispositions),243,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,243,96.8,0,0.0
Otherwise (compliance with ALJ or Board not achieved — first event noted in subgroup),,,,,,,,,,,,,,,,
