Industrial Group,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Crop Production,12,10,8,2,0,0,0,0,0,2,1,0,1,0,0,0
Animal Production,26,24,18,6,0,0,0,0,0,1,0,0,1,0,0,1
Mining (except Oil and Gas),114,96,82,13,0,1,0,0,0,17,8,1,8,0,1,0
Utilities,479,398,309,85,4,0,0,0,0,74,58,2,14,5,0,2
Construction of Buildings,312,280,152,63,42,14,1,0,8,30,26,1,3,0,0,2
Construction (aggregate),2491,2114,1372,449,184,71,9,0,29,368,295,19,54,5,0,4
Food Manufacturing,840,736,543,191,2,0,0,0,0,96,67,3,26,3,0,5
31-Manufacturing (aggregate),1139,997,750,240,4,0,3,0,0,131,86,3,42,3,0,8
