row_label,col_1,col_2
Gliden Buick Corporation,32,46
Globe Newspaper Company,31,154
"Godchaux Sugars, Inc",26,3
Golden Sun Milling Co.,27,151
"Goldwyn, Samuel Inc., Ltd",27,8
"Goldwyn, Samuel Inc., Ltd.",27,133
"Goodrich Company, The B. F., Cadillac, Mich.",30,163
"Goodrich Company, The B. F., Clarksville, Tenn.",30,76
"Goodrich Electric Co., Inc.",30,140
"Great Lakes Engineering Works, Ecorse, Mich_",31,82
"Great Lakes Engineering Works, River Rouge, Mich",32,137
Greater New York Bedding,31,119
"Co. Green, Inc., R. S.",29,142
"Greene, Tweed & Co.",29,170
"Griess Pfleger Tanning Co., The",29,139
"Grossman, Inc., S. H",26,118
Gulf Refining Company,25,83
Gulf States Utilities Company,31,123
"Gutmann and Company, Incorporated",30,1
Hardy Manufacturing Corporation,30,5
"Hart Co., Inc., Leo",26,12
Hart & Cooley Manufacturing Co,30,155
Harvill Aircraft Die Casting Corporation,28,70
Hatfield Wire & Cable Company,30,53
"Hearst Publications, Inc., Los Angeles Evening Herald & Express",28,151
"Hearst Publications, Inc., Los Angeles Examiner",28,151
"Henrietta Mills, Henrietta Plant",25,29
"Hettrick Manufacturing Company, The",25,79
Hewitt Rubber Corporation,31,167
"Highway Motor Freight Lines, Inc Higley Forwarding Co., The",25,70
Higman Towing Company,25 32,70 19
Hillman Transportation Company,20,62
Hillsdale Screen Company,29,106
Hillsdale Steel Products Company Hobbs-Wall Co,30 30,93
"Hoberman, B",30,146 176
"Hoffman, Max, d/b/a M. Hoffman & Co",25,41
Holgate Brothers Company,31,76
Home Manufacturing Company,26,96
Houston Chronicle Publishing Company,28,155
Houston Pipe Line Company,28,52
Hueneme Wharf & Warehouse Company,28,21
,30,21
Hussman-Ligonier Company,,20
Illinois Electric Porcelain Company,31,
"Ingalls Iron Works Company, The, Birmingham Tank Co., Div",25,124
"Ingalls Iron Works Company, The, Southside Plants • Insuline Corp. of America, Inc",29,28
"International Agricultural Corporation, Rock Department, Columbia,",ZS,125
Tennessee,20,61
"International Harvester Company, East Moline Works",32,8
"International Harvester Company, East Moline Works",32,8
"International Harvester Company, East Moline Works",32:,8
"International Harvester Company, Farmall Works",32,4
"International Harvester Company, McCormick Works",32,6
"International Harvester Company, McCormick Works",32,6
"International Harvester Company, Milwaukee Works",32,3
"International Harvester Company, Rock Falls Works",32,5
"International Harvester Company, West Pullman Works",32,7
"International Harvester Company, West Pullman Works",32,7
Intracoastal Towing & Transportation Company,31,87
Irving Shoe Company,26,42
"Italian Food Products Company, Inc",29,55
"Item Company, Limited",31,42
