Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
Maine,21,14,9,2,1,2,7,839,758,368,260,18,26,64,390,422
Massachusetts,118,36,9,0,10,63,5978,5367,3302,1340,874,562,526,5245,1676,
New England — Division subtotal,212,108,74,19,1,14,104,14061,12336,5238,2732,1163,588,755,7098,3610
New York,311,149,76,33,2,38,162,15176,12327,6297,2831,1775,234,1455,2557,6060
Middle Atlantic — Division subtotal (NY + NJ + PA),653,314,165,80,6,59,339,29941,25391,13025,7254,2219,218,3424,12366,12896
East North Central — Division subtotal (OH + IN + IL + MI + WI),811,373,206,111,12,44,438,41521,37328,18163,11090,3522,246,3205,19165,15810
West North Central — Division subtotal (IA + MN + MO + ND + SD + NE + KS),281,143,82,45,0,16,138,10978,9614,4817,3009,1120,297,396,4797,5061
Per-state,,,,,,,,,,,,,,,,
