Region,Number of elections — Consent,Number of elections — Ordered,Number of elections — Total
1. Boston,52,22,74
2. New York,88,30,118
3. Buffalo,22,8,30
4. Philadelphia,44,20,64
5. Baltimore,50,30,80
6. Pittsburgh,8,7,15
7. Detroit,9,4,13
8. Cleveland,27,12,39
9. Cincinnati,32,10,42
10. Atlanta,45,8,53
11. Indianapolis,20,5,25
12. Milwaukee,28,8,36
13. Chicago,67,10,77
14. St. Louis,20,5,25
15. New Orleans,20,9,29
16. Fort Worth,9,6,15
17. Kansas City,59,16,75
18. Minneapolis,31,3,34
19. Seattle,52,9,61
20. San Francisco,57,12,69
21. Los Angeles,65,8,73
22. Denver,8,8,16
Total,812,240,1052
