Stage and method,All cases — Number,All cases — Percent,NLRA-C cases — Number,NLRA-C cases — Percent,CA cases — Number,CA cases — Percent,Other C cases — Number,Other C cases — Percent
Total number of cases closed,5503,100.0,137,100.0,4168,100.0,1198,100.0
"Before formal action, total",4800,87.3,0,0.0,3742,89.8,1058,88.3
Adjusted,965,,0,0,796,,169,
Withdrawn,2532,,0,0,1982,,550,
Dismissed,1296,,0,0,960,,336,
Closed otherwise,7,,0,0,4,,3,
"After 10(k)² notice of hearing, total",18,3,0,0,0,0,18,1.5
"After complaint, total",685,12.4,137,100.0,426,10.2,122,10.2
"Before hearing, total",111,2.0,0,0,90,2.2,21,1.8
"After hearing, total",89,1.6,0,0,68,,21,1.8
"After board decision, total",253,4.6,19,13.9,176,4.2,58,4.8
"After court action, total",232,4.2,118,86.1,92,2.2,22,1.8
Compliance with consent decree,160,,82,,65,,13,
Compliance with court order,54,,26,,19,,9,
Dismissed,18,,8,,10,,0,
