Statute section,Total proceedings,"Injunction proceedings / Pending in district court July 1, 1975",Injunction proceedings / Filed in district court fiscal year 1976,Injunction proceedings / Filed in district court fiscal year 1976,Total dispositions,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,Disposition of injunctions / Dismissed,Disposition of injunctions / Inactive,"Pending in district court June 30, 1976"
"Under sec. 10(e), total",12,0,2,2,1,0,0,0,1,0,0,0
"Under sec. 10(j), total",25,5,20,18,6,3,5,3,4,0,2,7
"Under sec. 10(l), total",155,18,137,137,49,12,42,6,4,0,14,18
"Section detail rows (8(a)(4), 8(b)(1)(A), 8(b)(2), 8(b)(3), 8(b)(4)(A-D), 8(b)(7)(A-C), etc.)",,,,,,,,,,,,
