Method and stage of disposition,All C cases - Number,All C cases - Percent of total closed,CA cases - Number,CA cases - Percent of total closed,CB cases - Number,CB cases - Percent of total closed,CC cases - Number,CC cases - Percent of total closed,CD cases - Number,CD cases - Percent of total closed,CE cases - Number,CE cases - Percent of total closed,CG cases - Number,CG cases - Percent of total closed,CP cases - Number,CP cases - Percent of total closed
Total number of cases closed,32113,100.0,22246,100.0,8013,100.0,1185,100.0,291,100.0,59,100.0,30,100.0,289,100.0
Agreement of the parties,9231,28.7,7045,31.6,1599,17.4,640,54.0,2,0.6,18,30.5,10,33.3,121,41.8
Informal settlement,9007,28.0,6876,30.9,1571,17.1,636,45.2,2,0.6,18,30.5,9,30.0,97,33.5
Before issuance of complaint,6394,19.9,4846,21.7,1184,12.9,422,35.6,,,8,13.5,7,23.3,77,26.6
Compliance with,754,2.3,575,2.5,145,1.8,27,2.2,0,0.0,3,5.0,0,0.0,4,1.3
Detailed,,,,,,,,,,,,,,,,
