Affiliation of union holding union-shop contract,Number of polls - Total,Number of polls - Resulting in deauthorization - Number,Number of polls - Resulting in deauthorization - Percent of total,Number of polls - Resulting in continued authorization - Number,Number of polls - Resulting in continued authorization - Percent of total,Employees involved - Total eligible,Employees involved - In polls resulting in deauthorization - Number,Employees involved - In polls resulting in deauthorization - Percent of total,Employees involved - In polls resulting in continued authorization - Number,Employees involved - In polls resulting in continued authorization - Percent of total,Valid votes cast - Total,Valid votes cast - Percent of total eligible,Valid votes cast - Cast for deauthorization - Number,Valid votes cast - Cast for deauthorization - Percent of total eligible
Total,147,98,66.7,49,33.3,6435,3121,48.5,3314,51.5,4394,68.3,2355,36.6
AFL-CIO unions,92,59,64.1,33,35.9,4258,1856,43.6,2397,56.4,2825,66.4,1555,36.5
Teamsters,41,29,73.2,11,26.8,1525,1150,75.4,375,24.6,1052,69.0,708,46.4
Other national unions,3,1,33.3,2,66.7,107,9,19.3,98,91.6,75,70.1,9,8.4
Other local unions,11,8,72.7,3,27.3,550,106,19.3,444,80.7,442,80.4,83,15.1
