Affiliation of union holding union-shop contract,Number of polls / Total,Number of polls / Resulting in deauthorization / Number,Number of polls / Resulting in deauthorization / Percent of total,Number of polls / Resulting in continued authorization / Number,Number of polls / Resulting in continued authorization / Percent of total,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / Resulting in deauthorization / Number,Employees involved (number eligible to vote) / Resulting in deauthorization / Percent of total,Employees involved (number eligible to vote) / Resulting in continued authorization / Number,Employees involved (number eligible to vote) / Resulting in continued authorization / Percent of total,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for deauthorization / Number,Valid votes cast / Cast for deauthorization / Percent of total eligible
Total elections,17,8,47.1,9,52.9,3394,213,6.3,3181,93.7,2110,62.2,1343,39.6
A F L,13,6,46.2,7,53.8,3100,129,4.2,2971,95.8,1838,59.3,1222,39.4
C I O,4,2,50.0,2,50.0,294,84,28.6,210,71.4,272,92.5,121,41.2
