Stage of disposition,All C cases / Number of cases,All C cases / Percent of cases closed,CA cases / Number of cases,CA cases / Percent of cases closed,CB cases / Number of cases,CB cases / Percent of cases closed,CC cases / Number of cases,CC cases / Percent of cases closed,CD cases / Number of cases,CD cases / Percent of cases closed,CE cases / Number of cases,CE cases / Percent of cases closed,CP cases / Number of cases,CP cases / Percent of cases closed
Total number of cases closed,15587,100,10643,100,2784,100,1220,100,483,100,86,100,371,100
Before issuance of complaint,13174,84.5,8761,82.3,2534,91.0,1006,82.4,470,97.3,75,87.2,328,88.4
"After issuance of complaint, before opening of hearing",1157,7.4,924,8.7,91,3.3,117,9.6,3,0.6,5,5.8,17,4.6
"After hearing opened, before issuance of trial examiner's decision",123,0.8,100,0.9,20,0.7,1,0.1,,,,,2,0.5
"After trial examiner's decision, before issuance of Board decision",144,1.0,115,1.1,13,0.5,10,0.8,,,,,,
After Board (or adopting trial examiner's decision in absence of exceptions),503,3.2,346,3.3,73,2.6,60,5.0,4,0.8,4,4.7,16,4.3
"After Board decision, before circuit court decree",440,2.8,330,3.1,53,1.9,26,2.1,5,1.0,,,5,1.3
"After circuit court decree, before Supreme Court action",66,0.4,48,0.5,,,,,,,,,,
After Supreme Court action,55,0.4,,,,,,,,,,,,
