Union affiliation,Elections participated in / Total,Elections participated in / Won,Elections participated in / Percent won,Employees involved (number eligible to vote) / Total eligible,Employees involved (number eligible to vote) / Employees in units selecting bargaining agent / Number,Employees involved (number eligible to vote) / Employees in units selecting bargaining agent / Percent of total eligible,Valid votes cast / Total,Valid votes cast / Percent of total eligible,Valid votes cast / Cast for the union / Number,Valid votes cast / Cast for the union / Percent of total cast
Total,6354,3563,56.1,450930,229283,50.8,403310,89.4,239693,59.4
AFL-CIO,4297,2170,50.5,364856,156564,42.9,326907,90.1,158046,48.1
Unaffiliated,2714,1393,51.3,196670,72719,37.0,172617,87.8,81647,47.3
