row_label,Cases filed / All cases,Cases filed / C cases,Cases filed / R cases,Cases closed / All cases,Cases closed / C cases,Cases closed / R cases,Cases on docket / All cases,Cases on docket / C cases,Cases on docket / R cases,"Cases pending, end of period / All cases","Cases pending, end of period / C cases","Cases pending, end of period / R cases"
1936,1068,865,203,734,636,98,1068,865,203,334,229,105
1937,4068,2895,1173,2322,1751,571,4402,3124,1278,2080,1373,707
1938,10430,6807,3623,8799,5694,3105,12510,8180,4330,3711,2486,1225
1939,6904,4618,2286,6569,4230,2339,10615,7104,3511,4046,2874,1172
1940,6177,3934,2243,7734,4696,3038,10223,6808,3415,2489,2144,745
1941,9151,6817,2334,8596,6498,2098,11640,8961,2679,3044,2463,581
1942,10977,4967,6010,11741,5476,6265,14021,7230,6791,2860,1774,1086
1943,5943,3403,2540,6141,3852,2289,8803,5234,3569,2622,1323,1299
1944,9176,6073,3103,9197,6286,2911,11438,7506,3932,2231,1160,1041
1945,9728,6427,3301,7624,5312,2312,11950,7587,4363,4237,2237,2002
1946,12260,3815,8445,10892,2911,7981,15477,5136,10361,4605,2225,2380
1947,14909,4232,10677,14456,4014,10442,19514,6457,13057,5058,2443,2615
"July 1-Aug. 21, 1947",939,296,643,2064,646,1418,5997,2739,3258,3933,2093,1840
Total,105341,55469,59692,101408,43556,57852,,,,,,
