Case stage and category,Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Individuals,Employers
"All cases — Pending October 1, 1990",26058,10734,2408,1004,1257,8169,2486
All cases — Received fiscal 1991,38923,14971,4018,961,1321,15037,2615
All cases — On docket fiscal 1991,64981,25705,6426,1965,2578,23206,5101
All cases — Closed fiscal 1991,38249,14536,3906,959,1321,14736,2791
"All cases — Pending September 30, 1991",26732,11169,2520,1006,1257,8470,2310
"ULP cases — Pending October 1, 1990",22852,9142,1780,917,1039,7660,2314
ULP cases — Received fiscal 1991,32271,11832,2580,760,992,13843,2264
ULP cases — On docket fiscal 1991,55123,20974,4460,1677,2031,21503,4478
ULP cases — Closed fiscal 1991,31593,11398,2515,774,994,13517,2395
"ULP cases — Pending September 30, 1991",23530,9576,1945,903,1037,7986,2083
"Representation cases — Pending October 1, 1990",2954,1537,517,84,201,443,172
Representation cases — Received fiscal 1991,6223,3010,1410,193,289,1061,260
Representation cases — On docket fiscal 1991,9177,4547,1927,277,490,1504,432
Representation cases — Closed fiscal 1991,6235,3003,1361,177,293,1097,304
"Representation cases — Pending September 30, 1991",2942,1544,566,100,197,407,128
"Union-shop deauthorization cases — Pending October 1, 1990",66,,,,,66,
Union-shop deauthorization cases — Received fiscal 1991,133,,,,,133,
Union-shop deauthorization cases — On docket fiscal 1991,199,,,,,199,
Union-shop deauthorization cases — Closed fiscal 1991,122,,,,,122,
"Union-shop deauthorization cases — Pending September 30, 1991",77,,,,,77,
"Amendment of certification cases — Pending October 1, 1990",12,2,1,0,4,0,5
Amendment of certification cases — Received fiscal 1991,22,5,4,2,6,0,5
"Unit clarification cases — Pending October 1, 1990",174,53,10,3,13,,95
Unit clarification cases — Received fiscal 1991,274,124,24,6,34,0,86
