row_label,Section / ULP-charged-category,Total proceedings,"Injunction proceedings — Pending in district court Oct 1, 1983",Injunction proceedings — Filed in district court fiscal year 1984,Total dispositions,Disposition of injunctions — Granted,Denied,Settled,Withdrawn,Dismissed,Inactive,"Pending in district court Sept 30, 1984"
"Under Sec. 10(e), total",2,0,2,1,1,0,0,0,0,0,0,1
"Under Sec. 10(j), total",30,0,30,29,18,0,9,2,0,0,0,1
10(j),,,,,,,,,,,,
"Under Sec. 10(l), total",88,2,86,75,35,4,21,5,5,5,0,13
10(l),,,,,,,,,,,,
