Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total votes for no union,Eligible employees in elections in which representative chosen
Washington,108,46,31,12,1,2,62,3955,3415,2349,754,179,368,1057,1066,2487
Oregon,76,28,18,4,1,5,48,2486,2022,1242,819,178,176,569,780,1565
California,478,220,126,59,4,31,258,20933,17627,8642,5266,1747,543,1058,8985,9127
Alaska,17,5,5,0,0,0,12,716,689,192,178,13,0,1,497,273
Hawaii,23,15,6,3,0,0,8,1239,1107,824,654,7,165,4,283,999
Guam,5,6,1,7,0,0,,,,,,,,,,
Pacific (subtotal RC — WA/OR/CA/AK/HI/Guam),707,320,187,85,19,38,387,29353,24835,12879,7102,2080,1233,2464,11996,13301
Outlying areas (Puerto Rico + Virgin Islands),34,18,6,2,0,10,16,3557,2854,1418,533,46,0,824,821,922
"Total, all States and areas (RC GRAND TOTAL — FY1983)",3453,1602,982,442,32,145,1851,175148,147883,75610,45728,18365,3234,13393,72273,76679
