Size of unit (number of employees),Number of employees eligible to vote,Total elections,A. Certification elections (RC and RM) / Total elections / Number,A. Certification elections (RC and RM) / Total elections / Percent of total,A. Certification elections (RC and RM) / Elections in which representation rights were won by unions / AFL-CIO unions Number,A. Certification elections (RC and RM) / Elections in which representation rights were won by unions / AFL-CIO unions Percent by size class,A. Certification elections (RC and RM) / Elections in which representation rights were won by unions / Other national unions Number,A. Certification elections (RC and RM) / Elections in which representation rights were won by unions / Other national unions Percent by size class,A. Certification elections (RC and RM) / Elections in which representation rights were won by unions / Other local unions Number,A. Certification elections (RC and RM) / Elections in which no rep was chosen / Other local unions Percent by size class,Elections in which no rep was chosen / Number,Percent by size class
Total RC and RM elections,3393,607,3079,100.0,1298,100.0,71,100.0,128,100.0,1582,100.0
Under 10,3393,607,323,10.5,323,24.9,10,14.1,27,21.1,247,15.6
