Standard Federal Region,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union-deauthorization cases (UD),Amendment-of-certification cases (AC),Unit-clarification cases (UC)
Region V (Chicago) — subtotal,9323,7869,5509,1856,333,56,8,0,43,1242,1203,50,91,14,6,39
Region VI (Dallas) — subtotal,2031,1675,1289,382,5,5,1,0,1,332,220,21,91,4,2,13
Region VII (Kansas City) — subtotal,1855,1461,1092,319,34,13,3,0,0,302,232,12,58,12,0,11
Region VIII (Denver) — subtotal,933,747,604,141,2,0,0,0,0,166,115,9,42,5,0,7
