Formal action taken,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA cases,Unfair labor practice cases / Other C cases,Representation cases
Complaints issued,1621,1621,1164,457,
Notices of hearing issued,5687,75,,75,5612
Cases heard,3983,1047,746,301,2936
Intermediate reports issued,1056,1056,772,284,
"Decisions issued, total",3798,1106,766,340,2692
Decisions and orders,885,885,645,240,
Decisions and consent orders,221,221,121,100,
Elections directed by Board,2166,,,,2166
Elections directed by regional directors,52,,,,52
Rulings on objections and/or challenges in stipulated election cases,204,,,,204
Dismissals on record,270,,,,270
