row_label,Fiscal year 1982 — Number of proceedings — Total,Fiscal year 1982 — Number of proceedings — Vs employers only,Fiscal year 1982 — Number of proceedings — Vs unions only,Fiscal year 1982 — Number of proceedings — Vs both employers and unions,Fiscal year 1982 — Number of proceedings — Board dismissal,Fiscal year 1982 — Percentages — Vs employers only,Fiscal year 1982 — Percentages — Vs unions only,Fiscal year 1982 — Percentages — Vs both employers and unions,Fiscal year 1982 — Percentages — Board dismissal,"July 5, 1935 to Sept. 30, 1982 — Number","July 5, 1935 to Sept. 30, 1982 — Percent"
Proceedings decided by U.S. courts of appeals,456,408,30,3,15,,,,,8569,100.0
On petitions for review and/or enforcement,278,239,18,2,8,100.0,100.0,100.0,100.0,5443,63.6
Board orders affirmed in full,204,175,13,2,14,73.2,62.9,69.3,,3475,63.6
Board orders affirmed with modification,45,44,1,0,0,18.4,5.5,,,1307,15.3
Remanded to Board,32,28,4,0,0,11.7,15.4,,,406,4.7
Board orders set aside,59,50,2,0,1,20.9,13.2,7.7,,1256,14.7
On petitions for contempt,32,28,4,0,0,,,,,,
Proceedings decided by U.S. Supreme Court,3,2,1,0,0,,,,,234,100.0
