Identification of party filing,Total number of polls,Results of polls / Voted in favor of interruption of work,Results of polls / Voted against interruption of work,Total number eligible to vote,Valid votes cast / Total,Valid votes cast / Votes in favor of interruption of work,Valid votes cast / Votes against interruption of work
Total,573,482,91,738972,540242,442769,97473
A. F. of L. affiliate,409,358,51,170695,122374,96776,25598
C. I. O. affiliate,50,47,3,73092,53688,43481,10207
Unaffiliated union,114,77,37,495185,364180,302512,61668
