row_label,Size of unit (Number of employees),Number of em- ployees eligible to vote,Total elec- tions / Number,Total elec- tions / Percent of total,Elections in which representation rights were won by unions (RD) / All unions / Number,Elections in which representation rights were won by unions (RD) / All unions / Percent by class,Elections in which representation rights were won by unions (RD) / AFL- CIO unions / Number,Elections in which representation rights were won by unions (RD) / AFL- CIO unions / Percent by class,Elections in which representation rights were won by unions (RD) / Other national unions / Number,Elections in which representation rights were won by unions (RD) / Other national unions / Percent by class,Elections in which representation rights were won by unions (RD) / Other local unions / Number,Elections in which representation rights were won by unions (RD) / Other local unions / Percent by class,Elections in which no representative was chosen / Number,Elections in which no representative was chosen / Percent of total
Total RD elections,22203,488,100.0,136,100.0,,,,,6,100.0,345,100.0,
Under 10,640,110,22.5,13,9.6,,,,,0,0,97,28.1,
10 to 19,1530,110,22.5,29,20.8,,,,,0,0,82,23.7,
