Method and stage of disposition,All C cases Number,All C cases Percent of total method closed,CA cases Number,CA cases Percent of total closed,CB cases Number,CB cases Percent of total closed,CC cases Number,CC cases Percent of total closed,CD cases Number,CD cases Percent of total closed,CE cases Number,CE cases Percent of total closed,CG cases Number,CG cases Percent of total closed,CP cases Number,CP cases Percent of total closed
Total number of cases closed,37783,100.0,27162,100.0,8652,100.0,1234,100.0,319,100.0,65,100.0,33,100.0,316,100.0
Agreement of the parties,11085,29.4,8787,32.3,1530,17.8,614,49.7,4,1.3,14,21.5,17,51.7,119,37.7
Informal settlement,10715,28.4,8545,31.5,1480,17.1,545,44.1,4,1.3,14,21.5,16,48.5,115,36.4
Informal settlement — Before issuance of complaint,6985,18.5,5450,20.1,1031,11.9,409,33.1,,,4,6.2,14,42.4,81,25.6
"Informal settlement — After issuance of complaint, before opening of hearing",3671,9.7,3046,11.2,444,5.1,136,11.0,4,1.3,9,13.8,2,6.1,30,9.5
"Informal settlement — After hearing opened, before issuance of administrative law judge's decision",59,0.2,49,0.2,5,0.1,0,0.0,0,0.0,1,1.5,0,0.0,4,1.3
Formal settlement,370,1.0,242,0.8,50,0.6,69,5.6,0,0.0,0,0.0,4,6.2,4,1.3
Compliance with,1071,2.8,891,3.4,132,1.5,31,2.5,2,0.6,7,10.8,3,9.0,5,1.6
Compliance — Administrative law judge's decision,48,0.1,43,0.2,4,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0
Compliance — Board decision (subtotal),666,1.8,547,2.0,96,1.1,16,1.3,0,0.0,4,6.2,1,3.0,2,0.6
Compliance — Board decision Adopting ALJ decision (no exceptions filed),274,0.7,244,0.9,30,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Compliance — Board decision Contested,372,1.0,302,1.1,52,0.6,14,1.1,0,0.0,1,1.5,1,3.0,2,0.6
Compliance — Circuit court of appeals decree (partial - 342 visible; rest of table cut off bottom),342,,,,,,,,,,,,,,,
